18년|2월|14일|6시|36분|45초|[낮음]|0|0|임시이름|
18년|2월|14일|6시|37분|2초|[낮음]|0|0|임시이름|
18년|2월|14일|19시|2분|0초|[낮음]|0|0|임시이름|
18년|2월|18일|19시|15분|58초|[심각]|2|
18년|2월|19일|11시|47분|40초|[심각]|2|
18년|2월|20일|2시|54분|27초|[심각]|2|
18년|2월|20일|2시|55분|10초|[심각]|2|
18년|2월|20일|2시|55분|30초|[심각]|2|
18년|2월|20일|3시|11분|38초|[심각]|2|
18년|2월|20일|3시|11분|46초|[심각]|2|
18년|2월|20일|3시|11분|50초|[심각]|2|
18년|2월|20일|3시|13분|55초|[심각]|2|
18년|2월|20일|3시|14분|2초|[심각]|2|
18년|2월|20일|3시|14분|14초|[심각]|2|
18년|2월|20일|3시|59분|9초|[심각]|2|
18년|2월|20일|3시|59분|15초|[심각]|2|
18년|2월|20일|3시|59분|21초|[심각]|2|
18년|2월|20일|4시|5분|46초|[심각]|2|
18년|2월|20일|4시|6분|3초|[심각]|2|
18년|2월|20일|4시|6분|8초|[심각]|2|
18년|2월|20일|4시|14분|18초|[심각]|2|
18년|2월|20일|4시|31분|18초|[심각]|2|
18년|2월|20일|4시|31분|29초|[심각]|2|
18년|2월|20일|4시|31분|44초|[심각]|2|
18년|2월|20일|5시|0분|19초|[심각]|2|
18년|2월|20일|5시|3분|8초|[심각]|2|
18년|2월|20일|6시|2분|11초|[심각]|2|
18년|2월|20일|6시|13분|34초|[심각]|2|
18년|2월|20일|6시|13분|41초|[심각]|2|
